,Country,hf_score,Region,Year,ef_score,pf_score,ef_legal,ef_money,ef_regulation,ef_trade,pf_assembly,pf_expression,pf_identity,pf_movement,pf_religion,pf_rol,pf_ss,pf_womens,ef_government,ef_government_consumption,ef_government_enterprises,ef_government_soa,ef_government_tax,ef_government_tax_income,ef_government_tax_payroll,ef_government_transfers,ef_legal_courts,ef_legal_enforcement,ef_legal_integrity,ef_legal_judicial,ef_legal_police,ef_legal_protection,ef_legal_regulatory,ef_money_currency,ef_money_growth,ef_money_inflation,ef_money_sd,ef_regulation_business,ef_regulation_business_adm,ef_regulation_business_bribes,ef_regulation_business_bureaucracy,ef_regulation_business_compliance,ef_regulation_business_licensing,ef_regulation_business_start,ef_regulation_credit,ef_regulation_credit_interest,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_labor,ef_regulation_labor_bargain,ef_regulation_labor_conscription,ef_regulation_labor_dismissal,ef_regulation_labor_firing,ef_regulation_labor_hours,ef_regulation_labor_minwage,ef_trade_black,ef_trade_movement,ef_trade_movement_capital,ef_trade_movement_foreign,ef_trade_movement_visit,ef_trade_regulatory,ef_trade_regulatory_compliance,ef_trade_regulatory_nontariff,ef_trade_tariffs,ef_trade_tariffs_mean,ef_trade_tariffs_revenue,ef_trade_tariffs_sd,hf_quartile,pf_assembly_entry,pf_assembly_freedom,pf_assembly_freedom_cld,pf_assembly_freedom_house,pf_assembly_parties,pf_assembly_parties_auton,pf_assembly_parties_bans,pf_assembly_parties_barriers,pf_expression_cultural,pf_expression_freedom,pf_expression_freedom_cld,pf_expression_gov,pf_expression_harass,pf_expression_internet,pf_expression_jailed,pf_expression_killed,pf_expression_media,pf_expression_selfcens,pf_identity_divorce,pf_identity_fgm,pf_identity_inheritance,pf_identity_same,pf_identity_same_f,pf_identity_same_m,pf_movement_cld,pf_movement_vdem,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_religion_freedom,pf_religion_freedom_cld,pf_religion_freedom_vdem,pf_religion_suppression,pf_ss_disappearances,pf_ss_disappearances_disap,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances_organized,pf_ss_disappearances_torture,pf_ss_disappearances_violent,pf_ss_homicide,pf_ss_killings
0,Switzerland,9.08,9,2015,8.53,9.47,8.81,9.81,8.57,7.75,9.68,9.8,9.38,9.85,9.52,8.23,9.86,9.43,7.7,6.39,10.0,9.04,7.0,8.0,6.0,6.06,8.79,6.67,8.25,8.76,9.27,9.15,9.6,10.0,9.62,9.77,9.83,8.52,6.37,9.52,8.0,9.29,8.37,9.57,9.31,10.0,8.0,9.93,7.88,8.28,5.0,10.0,7.98,6.0,10.0,10.0,6.94,3.08,10.0,7.74,7.86,9.89,5.84,6.19,8.66,9.91,0.0,1.0,9.14,10.0,10.0,10.0,9.82,9.68,9.94,9.85,9.57,10.0,10.0,9.66,9.46,9.91,10.0,10.0,10.0,9.65,10.0,10.0,7.5,10.0,10.0,10.0,10.0,9.71,9.75,9.72,9.65,9.59,10.0,9.19,9.45,9.92,10.0,10.0,10.0,10.0,9.65,10.0,9.8,9.79
1,Switzerland,9.09,9,2016,8.56,9.48,8.79,9.92,8.56,7.82,9.68,9.8,9.38,9.85,9.52,8.24,9.88,9.43,7.69,6.4,10.0,9.04,7.0,8.0,6.0,5.99,8.71,6.46,8.25,8.78,9.27,9.23,9.6,10.0,9.92,9.91,9.85,8.52,6.33,9.52,8.0,9.29,8.37,9.57,9.31,10.0,8.0,9.93,7.85,8.37,5.0,10.0,7.7,6.0,10.0,10.0,6.94,3.08,10.0,7.74,8.14,9.89,6.39,6.22,8.74,9.91,0.0,1.0,9.14,10.0,10.0,10.0,9.82,9.68,9.94,9.85,9.57,10.0,10.0,9.66,9.46,9.91,10.0,10.0,10.0,9.65,10.0,10.0,7.5,10.0,10.0,10.0,10.0,9.71,9.75,9.72,9.65,9.59,10.0,9.19,9.45,9.92,10.0,10.0,10.0,10.0,9.65,10.0,9.84,9.79
2,Switzerland,9.15,9,2017,8.57,9.56,8.75,9.89,8.6,7.92,9.68,9.8,10.0,9.85,9.52,8.2,9.89,9.93,7.68,6.39,10.0,9.04,7.0,8.0,6.0,5.98,8.7,6.25,8.25,8.74,9.23,9.23,9.6,10.0,9.78,9.89,9.89,8.61,6.21,10.0,8.0,9.52,8.37,9.57,9.33,10.0,8.0,10.0,7.85,8.35,5.0,10.0,7.77,6.0,10.0,10.0,7.42,3.08,10.0,9.18,8.06,9.89,6.23,6.21,8.72,9.91,0.0,1.0,9.14,10.0,10.0,10.0,9.82,9.68,9.94,9.85,9.57,10.0,10.0,9.66,9.46,9.91,10.0,10.0,10.0,9.65,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.71,9.75,9.72,9.65,9.59,10.0,9.19,9.45,9.92,10.0,10.0,10.0,10.0,9.65,10.0,9.85,9.79
3,Switzerland,9.14,9,2018,8.54,9.56,8.68,9.83,8.57,7.92,9.68,9.8,10.0,9.85,9.52,8.21,9.87,9.93,7.71,6.43,10.0,9.04,7.0,8.0,6.0,6.06,8.64,6.25,8.23,8.61,9.05,9.04,9.6,10.0,9.68,9.81,9.85,8.56,6.32,9.79,8.0,9.29,8.37,9.58,9.33,10.0,8.0,10.0,7.82,7.9,5.0,10.0,8.04,6.0,10.0,10.0,7.42,3.08,10.0,9.18,8.07,9.91,6.22,6.2,8.68,9.91,0.0,1.0,9.14,10.0,10.0,10.0,9.82,9.68,9.94,9.85,9.57,10.0,10.0,9.66,9.46,9.91,10.0,10.0,10.0,9.65,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.71,9.75,9.72,9.65,9.59,10.0,9.19,9.45,9.92,10.0,10.0,10.0,10.0,9.65,10.0,9.83,9.79
4,Switzerland,9.11,9,2019,8.48,9.56,8.68,9.85,8.27,7.89,9.68,9.8,10.0,9.85,9.52,8.17,9.87,9.93,7.69,6.38,10.0,9.04,7.0,8.0,6.0,6.01,8.63,6.25,8.25,8.61,9.05,9.04,9.6,10.0,9.65,9.93,9.82,8.48,6.32,9.79,7.56,9.29,8.37,9.58,9.33,10.0,8.0,10.0,6.99,7.9,0.0,10.0,8.04,6.0,10.0,10.0,7.27,3.08,10.0,8.74,8.07,9.91,6.22,6.24,8.8,9.91,0.0,1.0,9.14,10.0,10.0,10.0,9.82,9.68,9.94,9.85,9.57,10.0,10.0,9.66,9.46,9.91,10.0,10.0,10.0,9.65,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.71,9.75,9.72,9.65,9.59,10.0,9.19,9.45,9.92,10.0,10.0,10.0,10.0,9.65,10.0,9.83,9.79
5,Iceland,8.57,9,2015,7.38,9.43,8.46,7.17,8.1,6.94,9.63,9.26,10.0,9.87,9.6,7.8,9.83,9.97,6.22,2.41,10.0,7.21,3.5,4.0,3.0,7.96,8.43,6.78,8.63,8.04,9.01,8.05,8.75,0.0,9.61,9.67,9.4,8.27,5.53,8.5,7.78,8.43,9.55,9.84,8.33,10.0,5.0,10.0,7.7,5.06,10.0,10.0,7.6,8.0,5.57,10.0,3.39,0.77,1.66,7.74,7.11,8.77,5.45,7.28,8.96,9.85,3.03,1.0,9.03,10.0,10.0,10.0,9.72,9.61,9.87,9.67,9.16,10.0,10.0,8.76,6.9,9.91,10.0,10.0,10.0,8.61,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75,9.5,9.89,9.85,9.38,10.0,8.75,9.82,9.92,10.0,10.0,10.0,10.0,9.69,10.0,9.74,9.77
6,Iceland,8.74,9,2016,7.83,9.39,8.45,9.56,7.73,7.17,9.63,9.17,10.0,9.87,9.6,7.57,9.92,9.97,6.26,2.47,10.0,7.21,3.5,4.0,3.0,8.1,8.26,6.78,8.63,8.08,8.94,8.17,8.75,10.0,9.22,9.66,9.34,8.2,5.34,8.5,7.78,8.43,9.55,9.59,7.33,10.0,2.0,10.0,7.67,5.07,10.0,10.0,7.39,8.0,5.57,10.0,4.33,0.77,4.49,7.74,7.01,8.77,5.24,7.32,9.06,9.85,3.06,1.0,9.03,10.0,10.0,10.0,9.72,9.61,9.87,9.67,8.31,10.0,10.0,8.76,6.9,9.91,10.0,10.0,10.0,8.61,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75,9.5,9.89,9.85,9.38,10.0,8.75,9.82,9.92,10.0,10.0,10.0,10.0,9.69,10.0,9.91,9.77
7,Iceland,8.75,9,2017,7.82,9.41,8.44,9.24,7.81,7.41,9.63,9.07,10.0,9.87,9.78,7.7,9.83,9.97,6.22,2.42,10.0,7.18,3.5,4.0,3.0,7.99,8.31,6.78,8.63,8.0,8.96,8.11,8.75,10.0,8.15,9.65,9.16,8.46,5.2,9.7,8.22,8.5,9.55,9.59,7.33,10.0,2.0,10.0,7.63,4.92,10.0,10.0,7.28,8.0,5.57,10.0,5.58,3.08,4.49,9.18,7.01,8.77,5.26,7.03,9.2,9.89,2.02,1.0,9.03,10.0,10.0,10.0,9.72,9.61,9.87,9.67,9.16,10.0,10.0,9.55,6.9,9.91,10.0,10.0,7.5,8.61,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75,9.5,9.89,9.85,9.74,10.0,9.48,9.82,9.92,10.0,10.0,10.0,10.0,9.69,10.0,9.74,9.77
8,Iceland,8.77,9,2018,7.84,9.44,8.45,9.37,7.67,7.48,9.63,9.1,10.0,9.87,9.78,7.88,9.83,9.97,6.21,2.44,10.0,7.18,3.5,4.0,3.0,7.95,8.36,6.78,8.63,7.89,9.02,8.2,8.75,10.0,8.82,9.46,9.18,8.21,5.0,8.5,8.22,8.43,9.55,9.59,7.23,10.0,2.0,9.68,7.57,4.7,10.0,10.0,7.15,8.0,5.57,10.0,5.9,1.54,6.99,9.18,7.12,8.78,5.47,6.9,9.14,9.89,1.68,1.0,9.03,10.0,10.0,10.0,9.72,9.61,9.87,9.67,9.16,10.0,10.0,9.55,7.17,9.91,10.0,10.0,7.5,8.61,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75,9.5,9.89,9.85,9.74,10.0,9.48,9.82,9.92,10.0,10.0,10.0,10.0,9.69,10.0,9.74,9.77
9,Iceland,8.77,9,2019,7.9,9.4,8.45,9.55,7.66,7.73,9.54,8.81,10.0,9.87,9.78,7.95,9.83,9.97,6.12,2.24,10.0,7.18,3.5,4.0,3.0,7.67,8.39,6.78,8.54,7.93,9.02,8.2,8.75,10.0,9.63,9.4,9.16,8.27,5.0,9.03,8.0,8.43,9.55,9.59,7.14,10.0,2.0,9.41,7.57,4.7,10.0,10.0,7.15,8.0,5.57,10.0,6.01,2.31,7.0,8.74,7.12,8.78,5.47,7.8,9.38,9.91,4.1,1.0,8.64,10.0,10.0,10.0,9.72,9.61,9.87,9.67,9.16,10.0,10.0,9.55,6.25,9.91,10.0,10.0,7.5,6.92,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75,9.5,9.89,9.85,9.74,10.0,9.48,9.82,9.92,10.0,10.0,10.0,10.0,9.69,10.0,9.74,9.77
