,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
0,Switzerland,1.39651,0.66557,0.29678,1,7.587,0.94143,Western Europe,1.34951,0.41978,2015
1,Iceland,1.30232,0.62877,0.4363,2,7.561,0.94784,Western Europe,1.40223,0.14145,2015
2,Denmark,1.32548,0.64938,0.34139,3,7.527,0.87464,Western Europe,1.36058,0.48357,2015
3,Norway,1.459,0.66973,0.34699,4,7.522,0.88521,Western Europe,1.33095,0.36503,2015
4,Canada,1.32629,0.63297,0.45811,5,7.427,0.90563,North America,1.32261,0.32957,2015
5,Finland,1.29025,0.64169,0.23351,6,7.406,0.88911,Western Europe,1.31826,0.41372,2015
6,Netherlands,1.32944,0.61576,0.4761,7,7.378,0.89284,Western Europe,1.28017,0.31814,2015
7,Sweden,1.33171,0.6598,0.36262,8,7.364,0.91087,Western Europe,1.28907,0.43844,2015
8,New Zealand,1.25018,0.63938,0.47501,9,7.286,0.90837,Australia and New Zealand,1.31967,0.42922,2015
9,Australia,1.33358,0.65124,0.43562,10,7.284,0.93156,Australia and New Zealand,1.30923,0.35637,2015
10,Israel,1.22857,0.41319,0.33172,11,7.278,0.91387,Middle East and Northern Africa,1.22393,0.07785,2015
11,Costa Rica,0.95578,0.63376,0.25497,12,7.226,0.86027,Latin America and Caribbean,1.23788,0.10583,2015
12,Austria,1.33723,0.62433,0.33088,13,7.2,0.89042,Western Europe,1.29704,0.18676,2015
13,Mexico,1.02054,0.48181,0.14074,14,7.187,0.81444,Latin America and Caribbean,0.91451,0.21312,2015
14,United States,1.39451,0.54604,0.40105,15,7.119,0.86179,North America,1.24711,0.1589,2015
15,Brazil,0.98124,0.49049,0.14574,16,6.983,0.69702,Latin America and Caribbean,1.23287,0.17521,2015
16,Luxembourg,1.56391,0.61583,0.28034,17,6.946,0.91894,Western Europe,1.21963,0.37798,2015
17,Ireland,1.33596,0.61777,0.45901,18,6.94,0.89533,Western Europe,1.36948,0.28703,2015
18,Belgium,1.30782,0.5845,0.2225,19,6.937,0.89667,Western Europe,1.28566,0.2254,2015
19,United Arab Emirates,1.42727,0.64157,0.26428,20,6.901,0.80925,Middle East and Northern Africa,1.12575,0.38583,2015
20,United Kingdom,1.26637,0.59625,0.51912,21,6.867,0.90943,Western Europe,1.28548,0.32067,2015
21,Oman,1.36011,0.63274,0.21542,22,6.853,0.76276,Middle East and Northern Africa,1.08182,0.32524,2015
22,Venezuela,1.04424,0.42908,0.05841,23,6.81,0.72052,Latin America and Caribbean,1.25596,0.11069,2015
23,Singapore,1.52186,0.54252,0.31105,24,6.798,1.02525,Southeastern Asia,1.02,0.4921,2015
24,Panama,1.06353,0.5421,0.24434,25,6.786,0.79661,Latin America and Caribbean,1.1985,0.0927,2015
25,Germany,1.32792,0.61477,0.28214,26,6.75,0.89186,Western Europe,1.29937,0.21843,2015
26,Chile,1.10715,0.44132,0.33363,27,6.67,0.85857,Latin America and Caribbean,1.12447,0.12869,2015
27,Qatar,1.69042,0.6404,0.32573,28,6.611,0.79733,Middle East and Northern Africa,1.0786,0.52208,2015
28,France,1.27778,0.55011,0.12332,29,6.575,0.94579,Western Europe,1.26038,0.20646,2015
29,Argentina,1.05351,0.44974,0.11451,30,6.574,0.78723,Latin America and Caribbean,1.24823,0.08484,2015
30,Czech Republic,1.17898,0.46364,0.10686,31,6.505,0.84483,Central and Eastern Europe,1.20643,0.02652,2015
31,Uruguay,1.06166,0.60362,0.2324,32,6.485,0.8116,Latin America and Caribbean,1.2089,0.24558,2015
32,Colombia,0.91861,0.53466,0.18401,33,6.477,0.69077,Latin America and Caribbean,1.24018,0.0512,2015
33,Thailand,0.9669,0.55664,0.5763,34,6.455,0.7385,Southeastern Asia,1.26504,0.03187,2015
34,Saudi Arabia,1.39541,0.31048,0.13706,35,6.411,0.72025,Middle East and Northern Africa,1.08393,0.32524,2015
35,Spain,1.23011,0.45951,0.18227,36,6.329,0.95562,Western Europe,1.31379,0.06398,2015
36,Malta,1.2074,0.60365,0.51752,37,6.302,0.88721,Western Europe,1.30203,0.13586,2015
37,Taiwan,1.29098,0.3974,0.25376,38,6.298,0.8753,Eastern Asia,1.07617,0.08129,2015
38,Kuwait,1.55422,0.55499,0.16228,39,6.295,0.72492,Middle East and Northern Africa,1.16594,0.25609,2015
39,Suriname,0.99534,0.59657,0.16991,40,6.269,0.6082,Latin America and Caribbean,0.972,0.13633,2015
40,Trinidad and Tobago,1.21183,0.55884,0.31844,41,6.168,0.61483,Latin America and Caribbean,1.18354,0.0114,2015
41,El Salvador,0.76454,0.4035,0.10692,42,6.13,0.67737,Latin America and Caribbean,1.02507,0.11776,2015
42,Guatemala,0.74553,0.57733,0.27489,43,6.123,0.64425,Latin America and Caribbean,1.04356,0.09472,2015
43,Uzbekistan,0.63244,0.65821,0.22837,44,6.003,0.59772,Central and Eastern Europe,1.34043,0.30826,2015
44,Slovakia,1.16891,0.31751,0.16893,45,5.995,0.78902,Central and Eastern Europe,1.26999,0.03431,2015
45,Japan,1.27074,0.49615,0.10705,46,5.987,0.99111,Eastern Asia,1.25712,0.1806,2015
46,South Korea,1.24461,0.33208,0.18557,47,5.984,0.96538,Eastern Asia,0.95774,0.07857,2015
47,Ecuador,0.86402,0.48574,0.11541,48,5.975,0.79075,Latin America and Caribbean,0.99903,0.1809,2015
48,Bahrain,1.32376,0.45492,0.17362,49,5.96,0.74716,Middle East and Northern Africa,1.21624,0.306,2015
49,Italy,1.25114,0.26236,0.22823,50,5.948,0.95446,Western Europe,1.19777,0.02901,2015
50,Bolivia,0.68133,0.57414,0.20536,51,5.89,0.5392,Latin America and Caribbean,0.97841,0.088,2015
51,Moldova,0.59448,0.32818,0.20951,52,5.889,0.61826,Central and Eastern Europe,1.01528,0.01615,2015
52,Paraguay,0.75985,0.53899,0.3424,53,5.878,0.66098,Latin America and Caribbean,1.30477,0.08242,2015
53,Kazakhstan,1.12254,0.51649,0.11827,54,5.855,0.64368,Central and Eastern Europe,1.12241,0.08454,2015
54,Slovenia,1.18498,0.60855,0.25328,55,5.848,0.87337,Central and Eastern Europe,1.27385,0.03787,2015
55,Lithuania,1.14723,0.21342,0.02641,56,5.833,0.73128,Central and Eastern Europe,1.25745,0.01031,2015
56,Nicaragua,0.59325,0.55475,0.27815,57,5.828,0.74314,Latin America and Caribbean,1.14184,0.19317,2015
57,Peru,0.90019,0.41496,0.14982,58,5.824,0.73017,Latin America and Caribbean,0.97459,0.05989,2015
58,Belarus,1.03192,0.37938,0.11046,59,5.813,0.73608,Central and Eastern Europe,1.23289,0.1909,2015
59,Poland,1.12555,0.53122,0.16759,60,5.791,0.77903,Central and Eastern Europe,1.27948,0.04212,2015
60,Malaysia,1.12486,0.53024,0.33075,61,5.77,0.72394,Southeastern Asia,1.07023,0.10501,2015
61,Croatia,1.08254,0.25883,0.05444,62,5.759,0.78805,Central and Eastern Europe,0.79624,0.0243,2015
62,Libya,1.13145,0.41668,0.18295,63,5.754,0.7038,Middle East and Northern Africa,1.11862,0.11023,2015
63,Russia,1.13764,0.36679,0.00199,64,5.716,0.66926,Central and Eastern Europe,1.23617,0.03005,2015
64,Jamaica,0.81038,0.50442,0.2123,65,5.709,0.68741,Latin America and Caribbean,1.15102,0.02299,2015
65,North Cyprus,1.20806,0.49027,0.26169,66,5.695,0.92356,Western Europe,1.07008,0.1428,2015
66,Cyprus,1.20813,0.40672,0.30638,67,5.689,0.92356,Western Europe,0.89318,0.06146,2015
67,Algeria,0.93929,0.28579,0.07822,68,5.605,0.61766,Middle East and Northern Africa,1.07772,0.17383,2015
68,Kosovo,0.80148,0.24749,0.2831,69,5.589,0.63132,Central and Eastern Europe,0.81198,0.04741,2015
69,Turkmenistan,0.95847,0.4761,0.16979,70,5.548,0.53886,Central and Eastern Europe,1.22668,0.30844,2015
70,Mauritius,1.00761,0.56066,0.37744,71,5.477,0.7095,Sub-Saharan Africa,0.98521,0.07521,2015
71,Hong Kong,1.38604,0.59608,0.39478,72,5.474,1.01328,Eastern Asia,1.05818,0.37124,2015
72,Estonia,1.15174,0.44888,0.0868,73,5.429,0.77361,Central and Eastern Europe,1.22791,0.15184,2015
73,Indonesia,0.82827,0.46611,0.51535,74,5.399,0.63793,Southeastern Asia,1.08708,0.0,2015
74,Vietnam,0.63216,0.59444,0.1686,75,5.36,0.74676,Southeastern Asia,0.91226,0.10441,2015
75,Turkey,1.06098,0.22815,0.12253,76,5.332,0.73172,Middle East and Northern Africa,0.94632,0.15746,2015
76,Kyrgyzstan,0.47428,0.43477,0.3003,77,5.286,0.65088,Central and Eastern Europe,1.15115,0.04232,2015
77,Nigeria,0.65435,0.34334,0.27233,78,5.268,0.16007,Sub-Saharan Africa,0.90432,0.0403,2015
78,Bhutan,0.77042,0.53206,0.47998,79,5.253,0.57407,Southern Asia,1.10395,0.15445,2015
79,Azerbaijan,1.02389,0.3703,0.07799,80,5.212,0.64045,Central and Eastern Europe,0.93793,0.16065,2015
80,Pakistan,0.59543,0.12102,0.33671,81,5.194,0.51466,Southern Asia,0.41411,0.10464,2015
81,Jordan,0.90198,0.40661,0.11053,82,5.192,0.69639,Middle East and Northern Africa,1.05392,0.14293,2015
82,Montenegro,0.97438,0.1826,0.1614,82,5.192,0.72521,Central and Eastern Europe,0.90557,0.14296,2015
83,China,0.89012,0.51697,0.08185,84,5.14,0.81658,Eastern Asia,0.94675,0.02781,2015
84,Zambia,0.47038,0.48827,0.19591,85,5.129,0.29924,Sub-Saharan Africa,0.91612,0.12468,2015
85,Romania,1.04345,0.35068,0.13748,86,5.124,0.7689,Central and Eastern Europe,0.88588,0.00649,2015
86,Serbia,0.92053,0.20107,0.19231,87,5.123,0.74836,Central and Eastern Europe,1.00964,0.02617,2015
87,Portugal,1.15991,0.51469,0.13719,88,5.102,0.87519,Western Europe,1.13935,0.01078,2015
88,Latvia,1.11312,0.29671,0.18226,89,5.098,0.72437,Central and Eastern Europe,1.09562,0.06332,2015
89,Philippines,0.70532,0.62545,0.24991,90,5.073,0.58114,Southeastern Asia,1.03516,0.12279,2015
91,Morocco,0.73479,0.41691,0.07172,92,5.013,0.60954,Middle East and Northern Africa,0.64095,0.08546,2015
92,North Macedonia,0.91851,0.33457,0.22359,93,5.007,0.73545,Central and Eastern Europe,1.00232,0.05327,2015
93,Mozambique,0.08308,0.34037,0.22269,94,4.971,0.09131,Sub-Saharan Africa,1.02626,0.15603,2015
